epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.17,2.08854,8.27954,2.83153,0.40401,0.38289,0.31604,0.20953,1.98053,5.80224,2.92286,0.00330435,0.00330435,0.00330435
2,187.334,2.20892,5.41073,2.8041,0.4702,0.45404,0.39251,0.24272,2.36077,4.71605,3.257,0.00660482,0.00660482,0.00660482
3,271.704,2.54396,4.41293,3.0259,0.21039,0.29494,0.14986,0.06466,3.816,5.81283,5.82189,0.0098723,0.0098723,0.0098723
4,355.227,2.87425,4.16902,3.30127,0.23176,0.33609,0.1739,0.08104,3.62246,5.20566,5.23002,0.0098515,0.0098515,0.0098515
5,438.232,2.82083,3.74392,3.22166,0.33193,0.38304,0.29544,0.16755,2.93776,4.65071,4.02448,0.009802,0.009802,0.009802
6,523.114,2.74709,3.55956,3.18548,0.28007,0.3797,0.22183,0.11445,3.25425,4.91644,4.36413,0.0097525,0.0097525,0.0097525
7,607.356,2.68082,3.29,3.1084,0.48552,0.49415,0.43066,0.26263,2.65224,3.42071,3.38393,0.009703,0.009703,0.009703
8,692.317,2.6001,3.10318,3.06742,0.54869,0.54694,0.53013,0.3296,2.60003,3.06831,3.34391,0.0096535,0.0096535,0.0096535
9,776.792,2.5285,3.05495,3.0186,0.40754,0.4585,0.38865,0.23908,2.6759,3.64135,3.44248,0.009604,0.009604,0.009604
10,861.053,2.51385,2.96944,2.984,0.60075,0.60025,0.58871,0.3908,2.27489,2.78119,3.14462,0.0095545,0.0095545,0.0095545
11,945.019,2.43493,2.82651,2.94805,0.55329,0.57958,0.54628,0.36375,2.33762,3.07608,3.20669,0.009505,0.009505,0.009505
12,1028.54,2.41606,2.84312,2.93159,0.62369,0.5714,0.60558,0.39627,2.37021,2.90329,3.20232,0.0094555,0.0094555,0.0094555
13,1112.79,2.38318,2.75306,2.90254,0.60463,0.55426,0.55369,0.37103,2.2209,2.79901,3.05592,0.009406,0.009406,0.009406
14,1197.17,2.34663,2.72641,2.8876,0.62722,0.58095,0.61135,0.42702,2.1655,2.7415,3.00642,0.0093565,0.0093565,0.0093565
15,1279.77,2.2859,2.60956,2.83534,0.63078,0.58296,0.61647,0.43367,2.11975,2.62744,2.92478,0.009307,0.009307,0.009307
16,1363.29,2.31096,2.59195,2.85638,0.65498,0.53548,0.58096,0.39981,2.18382,2.65761,3.00994,0.0092575,0.0092575,0.0092575
17,1445.93,2.28358,2.56877,2.83993,0.57754,0.62421,0.599,0.43325,2.07162,2.61638,2.99697,0.009208,0.009208,0.009208
18,1530.95,2.24178,2.44239,2.80784,0.62684,0.62659,0.64727,0.46964,2.01704,2.44979,2.85957,0.0091585,0.0091585,0.0091585
19,1613.82,2.24367,2.41241,2.80016,0.63374,0.65945,0.65611,0.46942,2.01807,2.30377,2.82943,0.009109,0.009109,0.009109
20,1697.03,2.22999,2.39942,2.79212,0.70996,0.61311,0.66816,0.47587,2.04007,2.4623,2.88992,0.0090595,0.0090595,0.0090595
21,1780.8,2.17015,2.39992,2.75474,0.70706,0.63678,0.68269,0.48942,2.00032,2.2319,2.85429,0.00901,0.00901,0.00901
22,1863.71,2.18134,2.40512,2.77462,0.68066,0.62429,0.6753,0.49499,1.90485,2.45885,2.79253,0.0089605,0.0089605,0.0089605
23,1947.87,2.18707,2.34574,2.77548,0.65788,0.64317,0.66277,0.47438,2.00496,2.35896,2.86844,0.008911,0.008911,0.008911
24,2032.19,2.13962,2.2946,2.72948,0.71643,0.66778,0.69856,0.51612,1.91422,2.21045,2.77017,0.0088615,0.0088615,0.0088615
25,2115.44,2.11051,2.26928,2.71229,0.69122,0.65502,0.6884,0.49044,1.98604,2.21913,2.84386,0.008812,0.008812,0.008812
26,2198.42,2.11025,2.25797,2.71597,0.71536,0.6376,0.70312,0.51996,1.94421,2.28401,2.77771,0.0087625,0.0087625,0.0087625
27,2282.15,2.09167,2.23064,2.70809,0.71684,0.6571,0.71576,0.52698,1.90576,2.06924,2.76631,0.008713,0.008713,0.008713
28,2365.22,2.10615,2.20393,2.70494,0.71845,0.66276,0.71996,0.5467,1.83041,2.13579,2.69477,0.0086635,0.0086635,0.0086635
29,2449.12,2.08137,2.16306,2.67388,0.68681,0.68722,0.7283,0.55192,1.79925,2.18392,2.6959,0.008614,0.008614,0.008614
30,2532.63,2.03417,2.16967,2.66253,0.59293,0.64224,0.66146,0.49069,1.97183,2.44557,2.80432,0.0085645,0.0085645,0.0085645
31,2616.02,2.06651,2.14191,2.67748,0.68914,0.66514,0.69516,0.50381,1.95325,2.13852,2.7903,0.008515,0.008515,0.008515
32,2699.21,2.08493,2.13471,2.68267,0.7186,0.71817,0.75903,0.58095,1.70257,1.90501,2.60322,0.0084655,0.0084655,0.0084655
33,2781.69,2.00841,2.06304,2.63542,0.72602,0.66509,0.71432,0.53966,1.73634,2.13087,2.61387,0.008416,0.008416,0.008416
34,2864.47,2.00456,2.0525,2.6311,0.73104,0.66983,0.71929,0.5347,1.90109,2.08713,2.76548,0.0083665,0.0083665,0.0083665
35,2947.57,1.99437,2.04554,2.6497,0.76273,0.67316,0.74087,0.56629,1.79636,1.93081,2.70853,0.008317,0.008317,0.008317
36,3030.48,1.98769,2.02955,2.64539,0.74891,0.69715,0.75239,0.56998,1.77052,1.87221,2.65028,0.0082675,0.0082675,0.0082675
37,3114.23,1.99784,1.97221,2.6326,0.74683,0.70596,0.75279,0.5717,1.70842,1.84667,2.60066,0.008218,0.008218,0.008218
38,3198.28,1.99334,2.01835,2.61856,0.71546,0.70911,0.74804,0.57327,1.77272,1.93764,2.6675,0.0081685,0.0081685,0.0081685
39,3280.91,1.95609,1.96996,2.61256,0.76696,0.68885,0.75264,0.57586,1.78229,1.85266,2.65378,0.008119,0.008119,0.008119
40,3363.29,1.94858,1.96943,2.60207,0.72398,0.73094,0.76703,0.59664,1.65913,1.88546,2.56672,0.0080695,0.0080695,0.0080695
41,3445.32,1.9482,1.95489,2.59695,0.82775,0.73254,0.79324,0.61221,1.65002,1.72015,2.54595,0.00802,0.00802,0.00802
42,3528.5,1.91442,1.90426,2.56762,0.75039,0.73589,0.77584,0.61264,1.62707,1.78392,2.49206,0.0079705,0.0079705,0.0079705
43,3612.54,1.89915,1.87132,2.56528,0.74841,0.7248,0.76648,0.59383,1.67537,1.80692,2.58987,0.007921,0.007921,0.007921
44,3695.13,1.92819,1.9081,2.59061,0.7342,0.75342,0.77101,0.58354,1.70705,1.81809,2.60885,0.0078715,0.0078715,0.0078715
45,3778.14,1.91985,1.91137,2.56683,0.80298,0.72403,0.78298,0.6039,1.69847,1.77233,2.55898,0.007822,0.007822,0.007822
46,3862.74,1.89208,1.84952,2.56299,0.71966,0.72291,0.7586,0.58719,1.65747,1.83995,2.54858,0.0077725,0.0077725,0.0077725
47,3946.18,1.9004,1.85188,2.56203,0.80202,0.72553,0.78506,0.62094,1.61645,1.70193,2.53302,0.007723,0.007723,0.007723
48,4028.96,1.88646,1.85604,2.55879,0.7841,0.73477,0.78247,0.6056,1.61157,1.73241,2.50312,0.0076735,0.0076735,0.0076735
49,4110.73,1.89154,1.81737,2.55846,0.72802,0.75482,0.77504,0.61103,1.64346,1.73868,2.55839,0.007624,0.007624,0.007624
50,4194.69,1.85246,1.82415,2.52775,0.76482,0.72514,0.76387,0.59623,1.65123,1.78424,2.5529,0.0075745,0.0075745,0.0075745
51,4277.31,1.8611,1.82596,2.54197,0.73666,0.71802,0.76762,0.59751,1.6743,1.77801,2.62014,0.007525,0.007525,0.007525
52,4360.39,1.88818,1.82354,2.5543,0.80134,0.71943,0.7875,0.62284,1.54957,1.69983,2.46109,0.0074755,0.0074755,0.0074755
53,4444.02,1.85376,1.79125,2.51288,0.77298,0.72099,0.78205,0.61608,1.56259,1.74617,2.46479,0.007426,0.007426,0.007426
54,4527.82,1.84034,1.78753,2.53749,0.77174,0.69376,0.74741,0.59174,1.66726,1.86647,2.54709,0.0073765,0.0073765,0.0073765
55,4610.92,1.82365,1.74126,2.50273,0.76441,0.72319,0.78297,0.62128,1.56917,1.75305,2.47361,0.007327,0.007327,0.007327
56,4694.12,1.79926,1.75338,2.51512,0.82348,0.72115,0.79993,0.62207,1.65138,1.70094,2.54284,0.0072775,0.0072775,0.0072775
57,4777.85,1.80599,1.71418,2.51148,0.79376,0.73375,0.79963,0.6377,1.54001,1.71102,2.46211,0.007228,0.007228,0.007228
